Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
4A	VREFB4AN0	IO			DIFFIO_TX_B73p	DIFFOUT_B73p	AK28	DQ10B	DQ3B	B_DQ_34	B_DQ_34							
4A	VREFB4AN0	IO			DIFFIO_RX_B74p	DIFFOUT_B74p	AD20	DQ10B	DQ3B	B_DQ_33	B_DQ_33							
4A	VREFB4AN0	IO			DIFFIO_RX_B75n	DIFFOUT_B75n	AA20	DQSn10B	DQSn3B	B_DQS#_4	B_DQS#_4							
4A	VREFB4AN0	IO			DIFFIO_TX_B76n	DIFFOUT_B76n	AH27	DQ10B	DQ3B	B_DQ_35	B_DQ_35							
4A	VREFB4AN0	IO			DIFFIO_RX_B75p	DIFFOUT_B75p	Y19	DQS10B	DQS3B	B_DQS_4	B_DQS_4							
4A	VREFB4AN0	IO			DIFFIO_TX_B76p	DIFFOUT_B76p	AG26			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B77n	DIFFOUT_B77n	AF26	DQ10B	DQ3B	GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B78n	DIFFOUT_B78n	AC23	DQ10B	DQ3B	B_DQ_36	B_DQ_36							
4A	VREFB4AN0	IO			DIFFIO_TX_B77p	DIFFOUT_B77p	AF25	DQ10B	DQ3B	B_DQ_38	B_DQ_38							
4A	VREFB4AN0	IO			DIFFIO_RX_B78p	DIFFOUT_B78p	AC22	DQ10B	DQ3B	B_DQ_37	B_DQ_37							
4A	VREFB4AN0	IO			DIFFIO_RX_B79n	DIFFOUT_B79n	AB21			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B80n	DIFFOUT_B80n	AE24	DQ10B	DQ3B	B_DQ_39	B_DQ_39							
4A	VREFB4AN0	IO			DIFFIO_RX_B79p	DIFFOUT_B79p	AA21			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B80p	DIFFOUT_B80p	AD24	DQ10B	DQ3B	B_DM_4	B_DM_4							
5A	VREFB5AN0	IO	RZQ_1		DIFFIO_TX_R1p	DIFFOUT_R1p	AG27	DQ1R										
5A	VREFB5AN0	IO		INIT_DONE	DIFFIO_RX_R2p	DIFFOUT_R2p	AD25											
5A	VREFB5AN0	IO		PR_REQUEST	DIFFIO_TX_R1n	DIFFOUT_R1n	AH28	DQ1R										
5A	VREFB5AN0	IO		CRC_ERROR	DIFFIO_RX_R2n	DIFFOUT_R2n	AC25											
