Device/Package xc7v2000tflg1925 8/18/2011 15:49:36,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
U31,IO_L20N_T3_16,3,16,1,1,HP,NA
Y32,IO_L21P_T3_DQS_16,3,16,1,1,HP,NA
Y33,IO_L21N_T3_DQS_16,3,16,1,1,HP,NA
W30,IO_L22P_T3_16,3,16,1,1,HP,NA
W31,IO_L22N_T3_16,3,16,1,1,HP,NA
Y30,IO_L23P_T3_16,3,16,1,1,HP,NA
Y31,IO_L23N_T3_16,3,16,1,1,HP,NA
W29,IO_L24P_T3_16,3,16,1,1,HP,NA
V29,IO_L24N_T3_16,3,16,1,1,HP,NA
U29,IO_25_VRP_16,NA,16,1,1,HP,NA
T24,IO_0_VRN_17,NA,17,2,2,HP,NA
P24,IO_L1P_T0_17,0,17,2,2,HP,NA
N24,IO_L1N_T0_17,0,17,2,2,HP,NA
T23,IO_L2P_T0_17,0,17,2,2,HP,NA
R23,IO_L2N_T0_17,0,17,2,2,HP,NA
N22,IO_L3P_T0_DQS_17,0,17,2,2,HP,NA
N21,IO_L3N_T0_DQS_17,0,17,2,2,HP,NA
T22,IO_L4P_T0_17,0,17,2,2,HP,NA
R22,IO_L4N_T0_17,0,17,2,2,HP,NA
P23,IO_L5P_T0_17,0,17,2,2,HP,NA
N23,IO_L5N_T0_17,0,17,2,2,HP,NA
R21,IO_L6P_T0_17,0,17,2,2,HP,NA
P21,IO_L6N_T0_VREF_17,0,17,2,2,HP,NA
J23,IO_L7P_T1_17,1,17,2,2,HP,NA
H23,IO_L7N_T1_17,1,17,2,2,HP,NA
J24,IO_L8P_T1_17,1,17,2,2,HP,NA
H24,IO_L8N_T1_17,1,17,2,2,HP,NA
G24,IO_L9P_T1_DQS_17,1,17,2,2,HP,NA
F24,IO_L9N_T1_DQS_17,1,17,2,2,HP,NA
G25,IO_L10P_T1_17,1,17,2,2,HP,NA
F25,IO_L10N_T1_17,1,17,2,2,HP,NA
F22,IO_L11P_T1_SRCC_17,1,17,2,2,HP,NA
E22,IO_L11N_T1_SRCC_17,1,17,2,2,HP,NA
F23,IO_L12P_T1_MRCC_17,1,17,2,2,HP,NA
E23,IO_L12N_T1_MRCC_17,1,17,2,2,HP,NA
D23,IO_L13P_T2_MRCC_17,2,17,2,2,HP,NA
C23,IO_L13N_T2_MRCC_17,2,17,2,2,HP,NA
D24,IO_L14P_T2_SRCC_17,2,17,2,2,HP,NA
C24,IO_L14N_T2_SRCC_17,2,17,2,2,HP,NA
C22,IO_L15P_T2_DQS_17,2,17,2,2,HP,NA
B22,IO_L15N_T2_DQS_17,2,17,2,2,HP,NA
E25,IO_L16P_T2_17,2,17,2,2,HP,NA
D25,IO_L16N_T2_17,2,17,2,2,HP,NA
A23,IO_L17P_T2_17,2,17,2,2,HP,NA
A22,IO_L17N_T2_17,2,17,2,2,HP,NA
B24,IO_L18P_T2_17,2,17,2,2,HP,NA
