"Pin Information for HardCopy® IV HC4GX25LF1152 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name
/Function"	"Optional  Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F1152	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
3C	VREFB3CN0	IO				DIFFOUT_B37p	AK20	DQ12B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B19n	DIFFOUT_B38n	AM20	DQ12B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B19p	DIFFOUT_B38p	AL20	DQ12B	DQ11B	
3C	VREFB3CN0	IO(7)				DIFFOUT_B39n	AN20	DQ13B		
3C	VREFB3CN0	IO(7)				DIFFOUT_B39p	AJ20	DQ13B		
3C	VREFB3CN0	IO(7)			DIFFIO_RX_B20n	DIFFOUT_B40n	AM19	DQSn13B		
3C	VREFB3CN0	IO(7)			DIFFIO_RX_B20p	DIFFOUT_B40p	AL19	DQS13B		
3C	VREFB3CN0	IO(7)				DIFFOUT_B41n	AK19	DQ13B		
3C	VREFB3CN0	IO(7)				DIFFOUT_B41p	AJ19	DQ13B		
3C	VREFB3CN0	IO(7)			DIFFIO_RX_B21n	DIFFOUT_B42n	AH19			
3C	VREFB3CN0	IO(7)			DIFFIO_RX_B21p	DIFFOUT_B42p	AG19			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT4			DIFFOUT_B43n	AD19			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT3			DIFFOUT_B43p	AC18			
3C	VREFB3CN0	IO			DIFFIO_RX_B22n	DIFFOUT_B44n	AG20			
3C	VREFB3CN0	IO			DIFFIO_RX_B22p	DIFFOUT_B44p	AF19			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT0n			DIFFOUT_B45n	AE19			
3C	VREFB3CN0	IO	PLL_B1_CLKOUT0p			DIFFOUT_B45p	AE18			
3C	VREFB3CN0	IO	PLL_B1_FBn/CLKOUT2		DIFFIO_RX_B23n	DIFFOUT_B46n	AM18			
3C	VREFB3CN0	IO	PLL_B1_FBp/CLKOUT1		DIFFIO_RX_B23p	DIFFOUT_B46p	AL18			
3C	VREFB3CN0	IO	CLK5n			DIFFOUT_B47n	AP20			
3C	VREFB3CN0	IO	CLK5p			DIFFOUT_B47p	AP19			
3C	VREFB3CN0	IO	CLK4n		DIFFIO_RX_B24n	DIFFOUT_B48n	AP18			
3C	VREFB3CN0	IO	CLK4p		DIFFIO_RX_B24p	DIFFOUT_B48p	AP17			
4C	VREFB4CN0	IO	CLK6p		DIFFIO_RX_B25p	DIFFOUT_B49p	AP15			
4C	VREFB4CN0	IO	CLK6n		DIFFIO_RX_B25n	DIFFOUT_B49n	AP16			
4C	VREFB4CN0	IO	CLK7p			DIFFOUT_B50p	AM17			
4C	VREFB4CN0	IO	CLK7n			DIFFOUT_B50n	AN17			
4C	VREFB4CN0	IO(7)	PLL_B2_FBp/CLKOUT1		DIFFIO_RX_B26p	DIFFOUT_B51p	AK17			
4C	VREFB4CN0	IO(7)	PLL_B2_FBn/CLKOUT2		DIFFIO_RX_B26n	DIFFOUT_B51n	AL17			
4C	VREFB4CN0	IO(7)	PLL_B2_CLKOUT0p			DIFFOUT_B52p	AC16			
4C	VREFB4CN0	IO(7)	PLL_B2_CLKOUT0n			DIFFOUT_B52n	AD17			
4C	VREFB4CN0	IO(7)			DIFFIO_RX_B27p	DIFFOUT_B53p	AE16			
4C	VREFB4CN0	IO(7)			DIFFIO_RX_B27n	DIFFOUT_B53n	AF16			
4C	VREFB4CN0	IO(7)	PLL_B2_CLKOUT3			DIFFOUT_B54p	AE15			
4C	VREFB4CN0	IO(7)	PLL_B2_CLKOUT4			DIFFOUT_B54n	AD16			
4C	VREFB4CN0	IO			DIFFIO_RX_B28p	DIFFOUT_B55p	AG16			
4C	VREFB4CN0	IO			DIFFIO_RX_B28n	DIFFOUT_B55n	AH16			
4C	VREFB4CN0	IO				DIFFOUT_B56p	AJ16	DQ14B		
4C	VREFB4CN0	IO				DIFFOUT_B56n	AK16	DQ14B		
4C	VREFB4CN0	IO			DIFFIO_RX_B29p	DIFFOUT_B57p	AM15	DQS14B		
4C	VREFB4CN0	IO			DIFFIO_RX_B29n	DIFFOUT_B57n	AM16	DQSn14B		
4C	VREFB4CN0	IO				DIFFOUT_B58p	AL16	DQ14B		
4C	VREFB4CN0	IO				DIFFOUT_B58n	AH15	DQ14B		
4C	VREFB4CN0	IO			DIFFIO_RX_B30p	DIFFOUT_B59p	AP13	DQ15B	DQ16B	
4C	VREFB4CN0	IO			DIFFIO_RX_B30n	DIFFOUT_B59n	AP14	DQ15B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B60p	AP12	DQ15B	DQ16B	
4C	VREFB4CN0	IO				DIFFOUT_B60n	AN14	DQ15B	DQ16B	
